complaint_text,category,urgency,duration,affected_count,source
"Paneer dishes are a disappointment every single time. Watery gravy, small pieces, and no flavor. For the price they charge, paneer should at least be decent.",Mess/Food,Medium,More than a month,5 to 20,synthetic
"Dustbins are placed only at entrances  not inside labs or near study areas. Students have to walk too far, so they dump waste nearby instead.",Cleanliness,High,From Last Month,20+,synthetic
classroom windows broken hain,Infrastructure,High,From Last Month,20+,synthetic
The mess doesn't cater well to students with dietary restrictions. No proper vegetarian options beyond the standard menu. Some variety please.,Mess/Food,High,More than a month,20+,synthetic
Benches in the canteen outdoor area are broken. Students sitting on them risk getting hurt. Replace them please.,Infrastructure,High,More than a month,2 to 5,synthetic
Canteen mein kabhi kabhi food cover nahi hota  flies around kar rahi hai aur staff ko koi difference nahi padta. Health hazard hai yeh.,Mess/Food,Medium,More than a month,5 to 20,synthetic
202 classroom ka AC 2 mahine se band hai. Summer mein bina AC ke ek hour bhi baithna mushkil hai. Please get it repaired already.,Technical Issues,Medium,More than a month,Only me,synthetic
printer out of order hai,Technical Issues,Medium,From last week,20+,synthetic
Wifi password change hote rehta hai bina notice ke. Ek din suddenly disconnect  class mein teacher something batate hai aur hum internet ke bina hote hai.,Technical Issues,Medium,More than a month,5 to 20,synthetic
no soap dispenser in washroom,Infrastructure,High,More than a month,20+,synthetic
college mein transport nahi hai,Other,High,From last week,Only me,synthetic
No dustbins inside lab rooms. Students have to walk to corridor to throw waste. Add dustbins inside labs please.,Infrastructure,Medium,From Last Month,20+,synthetic
"The mess management really needs to step up. Food quality has been consistently bad for over a month now. No nutrition, excess oil, same boring menu every day. For students who stay far and depend entirely on college food, this is a serious problem. We're paying full fees for this college  the least they can do is provide edible food. The seating arrangement is also pathetic. During lunch break it feels like a fish market. Please take this seriously.",Mess/Food,High,More than a month,20+,synthetic
Clg mein itne assignments hai ki self study ke liye time hi nahi milta. Skills develop karne ka koi mauka nahi dete.,Academics,High,More than a month,5 to 20,synthetic
"Faculty member calls on students who seem distracted and mocks them sarcastically. 'Aap toh celebrity ho, hum wait karein aapke liye?' This is demeaning.",Ragging,High,More than a month,Only me,synthetic
sir behavior students ke saath bahut bura hai,Ragging,High,More than a month,Only me,synthetic
"After college events, the venue is never cleaned properly. Next day students find leftover food, plastic, and mess everywhere.",Cleanliness,High,More than a month,5 to 20,synthetic
"Professor takes attendance and then leaves after 10 minutes. But if students do the same, they lose marks. Double standard bahut frustrating hai.",Ragging,Medium,From Last Month,2 to 5,synthetic
notice nahi milti properly,Other,High,More than a month,2 to 5,synthetic
"The washrooms in this college are in a terrible condition. All the toilet stalls in girls washroom of D block have broken flush handles  you have to manually pour water or just leave it. The floor is perpetually wet creating a slipping hazard. There are no soap dispensers. The cleaning is done only once in the morning, after which the condition deteriorates rapidly through the day. By afternoon it's genuinely unbearable. This is a health and hygiene issue that directly affects girl students every single day. Please set up a proper cleaning schedule and maintenance team.",Cleanliness,High,More than a month,5 to 20,synthetic
"The building infrastructure of this college is quite poor for the fees we pay. Broken benches, non-functional lights in corridors, leaking roofs during rain, broken washroom doors  these are basic things that should be maintained regularly. In one of our classrooms, two of the three ceiling fans don't work. In Mumbai heat, sitting in a hot classroom with one fan for 60 students is unbearable. Please allocate budget for proper maintenance. Students deserve a functional learning environment.",Infrastructure,High,More than a month,20+,synthetic
Benches in the canteen outdoor area are broken. Students sitting on them risk getting hurt. Replace them please.,Infrastructure,High,More than a month,2 to 5,synthetic
Our professor regularly humiliates students in class when they give wrong answers. Yeh teaching method nahi hai  this kills students' confidence and creates fear.,Ragging,High,From last week,Only me,synthetic
library mein AC nahi hai,Technical Issues,High,More than a month,5 to 20,synthetic
202 classroom ka AC 2 mahine se band hai. Summer mein bina AC ke ek hour bhi baithna mushkil hai. Please get it repaired already.,Technical Issues,Medium,From Last Month,5 to 20,synthetic
washroom lock toot gaya hai,Infrastructure,High,More than a month,20+,synthetic
Hostel corridor cleaning happens only on weekends. 5 days mein corridor itna ganda ho jaata hai ki walk karna uncomfortable ho jata hai.,Cleanliness,High,More than a month,5 to 20,synthetic
Declaration page for every submission of every subject ,Academics,High,From Last Month,20+,real
During MSE exams submission portal crashed and many students couldn't upload on time. Who takes responsibility for technical failure?,Technical Issues,Medium,More than a month,5 to 20,synthetic
Computer lab booking system is manual  we have to physically go and check availability. An online booking system would save so much time.,Technical Issues,Medium,More than a month,Only me,synthetic
"Yaar ITI students get better practical training than us sometimes. Hum engineering kar rahe hai but kabhi kuch banana nahi sikha. Sab theoretical hai. Physics, maths, theory, theory, theory. Kab industry-ready honge? Companies mein jaate hai interview ke liye toh pata chalta hai kitna gap hai. College ki responsibility hai ki hume ready kare  aur yeh college fail ho rahi hai is maamle mein completely.",Academics,High,More than a month,20+,synthetic
faculty ne publicly insult kiya,Ragging,High,More than a month,Only me,synthetic
60 rupaye mein yeh milta hai?,Mess/Food,Medium,More than a month,2 to 5,synthetic
"Yaar seriously aaj kal college mein padhna ek torture ban gaya hai. Monday test, tuesday assignment submission, wednesday practical, thursday ISA  kab breathe karein? Aur professor jo padhate hai woh bhi outdated hai. Industry mein koi aur cheez maang raha hai aur hum yahan kuch aur seekh rahe hai. Phir placement ka time aata hai toh samajh nahi aata kya karein. College ne koi roadmap nahi diya, koi mentoring nahi, bas attendance count hoti hai. This is so demoralizing.",Academics,High,More than a month,20+,synthetic
60 rupaye mein yeh milta hai?,Mess/Food,High,More than a month,20+,synthetic
"Classroom floors are swept but not mopped. Sticky floors, stains, and marks everywhere. Proper floor cleaning with disinfectant is required.",Cleanliness,High,More than a month,20+,synthetic
Professor ek student ka assignment baar baar reject karta hai bina proper reason ke aur publicly embarrass karta hai. Targeted harassment lag raha hai.,Ragging,Medium,More than a month,Only me,synthetic
No hand sanitizers or soap available in washrooms. During flu season this is a major hygiene risk for everyone in the college.,Cleanliness,High,From Last Month,2 to 5,synthetic
There is a pattern of behavior from one particular professor that I want to report formally. He regularly singles out students who don't have 100% attendance and threatens them in front of the class. He uses sarcastic and demeaning language. Girls especially have complained of feeling uncomfortable in his classes. On multiple occasions he has made comments that were inappropriate and humiliating. This is not discipline  this is harassment. Several students have already stopped attending his classes out of fear. Please investigate and act.,Ragging,High,From last week,2 to 5,synthetic
The gap between what this college teaches and what industry actually needs is HUGE. I went for internship interviews and realized I didn't know half the things they were asking. My college just focuses on rote learning and attendance. Where is the practical exposure? Where is the mentorship? The placement record of this college is declining every year and no one is taking responsibility. Students who work hard are still unemployed because the college failed to prepare them. This is not acceptable.,Academics,High,More than a month,20+,synthetic
canteen bahut expensive hai,Mess/Food,Medium,More than a month,2 to 5,synthetic
monday test hata do please,Academics,High,More than a month,20+,synthetic
lab PC login nahi ho raha,Technical Issues,Low,More than a month,Only me,synthetic
Professor ek particular student group ke saath bias rakhta hai  favorites ko marks deta hai aur baaki ko unfairly treats karta hai. This is discrimination.,Ragging,High,From last week,20+,synthetic
The college app crashes frequently and has a very outdated UI. Assignment submissions through the app often fail. Please update or replace it.,Other,High,More than a month,2 to 5,synthetic
"Our professor doesn't allow students to leave class even during emergencies. When a student requested washroom break urgently, he refused. This is inhumane.",Ragging,High,More than a month,2 to 5,synthetic
"Vending machine near the canteen has been out of order for 3 weeks now. After 5pm when canteen closes, students have no food/snack option. Please fix it.",Other,Low,Today,2 to 5,synthetic
"The main gate area gets very crowded during dismissal time. No crowd management, no designated exit paths. Accident prone situation.",Infrastructure,High,More than a month,20+,synthetic
Faculty khud nahi jaante kya padhana hai  ek professor ne wrong concept padhaya aur jab point out kiya toh attitude dikha diya. Unacceptable.,Academics,High,From last week,20+,synthetic
"Canteen staff is rude when you ask for extra roti or point out something wrong with the food. We are customers, treat us with respect.",Mess/Food,Medium,More than a month,5 to 20,synthetic
parking nahi hai proper,Infrastructure,Medium,More than a month,20+,synthetic
The practical lab sessions have no real experiments. We just copy from manual and submit. Where is the actual learning happening?,Academics,High,More than a month,20+,synthetic
sir behavior students ke saath bahut bura hai,Ragging,High,From Last Month,20+,synthetic
Using old school software and teaching methods. Also sometimes the syllabus feels outdated.,Academics,Medium,More than a month,20+,real
The water from the dispenser does not taste well like normal water,Other,Medium,More than a month,5 to 20,real
"Alumni network is completely inactive. No mentorship program, no networking events, no job referral system through alumni.",Other,High,From last week,20+,synthetic
A student was asked by senior to share their assignment for 'reference' and was threatened that they'd be made uncomfortable otherwise. Clear coercion.,Ragging,High,From last week,Only me,synthetic
The seating capacity in the mess is way too small for the number of students. We end up eating standing or rushing back to class hungry.,Mess/Food,High,More than a month,5 to 20,synthetic
"Multiple systems in lab M411 and M312 are non-functional. Some don't boot, some freeze during work, and some have login issues where it doesn't recognize student IDs. We have practicals to complete with deadlines and we can't work because the computers are broken. This has been reported multiple times but nothing has been fixed. How are we expected to learn if the tools aren't working? The labs need urgent maintenance.",Technical Issues,High,More than a month,Only me,synthetic
"Vending machine accepts only exact change  no change given back, no card/UPI. This is 2026, please upgrade the machine.",Other,Medium,More than a month,2 to 5,synthetic
Monday Tests are unnecessary and keeps our schedule hectic,Academics,Medium,More than a month,20+,real
D block washroom ka floor drainage system kharab hai. Paani floor pe ruk jaata hai aur slippery ho jaata hai. Ek student phisal bhi chuki hai wahan se. Yeh ek accident ka intezaar hai. Flush bhi properly nahi kaam karta. Soap nahi hai. Overall washroom condition bahut unhygienic hai. Please send maintenance team to D block washrooms on priority. This is a safety and hygiene emergency.,Infrastructure,Medium,More than a month,5 to 20,synthetic
lab bench dirty rehte hai,Cleanliness,Low,More than a month,20+,synthetic
100% attendance compulsory kyu hai yaar,Academics,Medium,More than a month,20+,synthetic
"I've been drinking from the water dispenser in A block for months and recently realized the taste has been off for a while  slightly metallic and stale. I think the dispenser hasn't been cleaned or serviced in a long time. We don't have any other water source during college hours. If the water quality is bad, students could get sick. Please get the water tested from a lab and service all dispensers on campus at least once a month. This is a basic health necessity.",Other,High,From Last Month,2 to 5,synthetic
sir behavior students ke saath bahut bura hai,Ragging,High,More than a month,2 to 5,synthetic
No nutritional value in the food being served. Engineering students need proper fuel to study. You can't run on watery dal and thin chapati.,Mess/Food,High,From Last Month,2 to 5,synthetic
High range for low quality of food ,Mess/Food,Medium,More than a month,20+,real
